Component;Description;References;Value;Footprint;Quantity Per PCB;Manufacturer_Part_Number;MANUFACTURER
1;Buzzer, polarized;BZ1;Buzzer;PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Right;1;CSQG703BP;
2;Unpolarized capacitor;C110;12p;C_0402_1005Metric;1;CL05C120JB51PNC;
3;Unpolarized capacitor;C111;12p;C_0402_1005Metric;1;CL05C120JB51PNC;
4;Unpolarized capacitor;C113;12p;C_0402_1005Metric;1;CL05C120JB51PNC;
5;Unpolarized capacitor;C114;12p;C_0402_1005Metric;1;CL05C120JB51PNC;
6;Unpolarized capacitor;C72;12p;C_0402_1005Metric;1;CL05C120JB51PNC;
7;Unpolarized capacitor;C73;12p;C_0402_1005Metric;1;CL05C120JB51PNC;
8;Unpolarized capacitor;C74;12p;C_0402_1005Metric;1;CL05C120JB51PNC;
9;Unpolarized capacitor;C75;12p;C_0402_1005Metric;1;CL05C120JB51PNC;
10;Unpolarized capacitor;C36;22p;C_0402_1005Metric;1;C0402C103K5RAC7411;
11;Unpolarized capacitor;C119;220p;C_0402_1005Metric;1;CL05C221JB51PNC;
12;Unpolarized capacitor;C127;220p;C_0402_1005Metric;1;CL05C221JB51PNC;
13;Unpolarized capacitor;C128;220p;C_0402_1005Metric;1;CL05C221JB51PNC;
14;Unpolarized capacitor;C15;220p;C_0402_1005Metric;1;CL05C221JB51PNC;
15;Unpolarized capacitor;C16;220p;C_0402_1005Metric;1;CL05C221JB51PNC;
16;Unpolarized capacitor;C80;220p;C_0402_1005Metric;1;CL05C221JB51PNC;
17;Unpolarized capacitor;C19;1n;C_0402_1005Metric;1;04025C102KAT4A;
18;Unpolarized capacitor;C20;1n;C_0402_1005Metric;1;04025C102KAT4A;
19;Unpolarized capacitor;C125;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
20;Unpolarized capacitor;C126;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
21;Unpolarized capacitor;C17;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
22;Unpolarized capacitor;C18;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
23;Unpolarized capacitor;C27;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
24;Unpolarized capacitor;C42;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
25;Unpolarized capacitor;C45;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
26;Unpolarized capacitor;C91;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
27;Unpolarized capacitor;C92;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
28;Unpolarized capacitor;C94;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
29;Unpolarized capacitor;C95;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
30;Unpolarized capacitor;C_TUNE2_1;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
31;Unpolarized capacitor;C_TUNE2_2;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
32;Unpolarized capacitor;C_TUNE2_3;10n;C_0402_1005Metric;1;C0402C103K5RAC7411;
33;Unpolarized capacitor;C1;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
34;Unpolarized capacitor;C101;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
35;Unpolarized capacitor;C103;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
36;Unpolarized capacitor;C105;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
37;Unpolarized capacitor;C116;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
38;Unpolarized capacitor;C117;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
39;Unpolarized capacitor;C121;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
40;Unpolarized capacitor;C124;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
41;Unpolarized capacitor;C23;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
42;Unpolarized capacitor;C24;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
43;Unpolarized capacitor;C30;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
44;Unpolarized capacitor;C31;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
45;Unpolarized capacitor;C32;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
46;Unpolarized capacitor;C4;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
47;Unpolarized capacitor;C40;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
48;Unpolarized capacitor;C41;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
49;Unpolarized capacitor;C43;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
50;Unpolarized capacitor;C44;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
51;Unpolarized capacitor;C48;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
52;Unpolarized capacitor;C49;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
53;Unpolarized capacitor;C5;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
54;Unpolarized capacitor;C50;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
55;Unpolarized capacitor;C51;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
56;Unpolarized capacitor;C52;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
57;Unpolarized capacitor;C58;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
58;Unpolarized capacitor;C59;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
59;Unpolarized capacitor;C60;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
60;Unpolarized capacitor;C64;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
61;Unpolarized capacitor;C67;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
62;Unpolarized capacitor;C68;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
63;Unpolarized capacitor;C71;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
64;Unpolarized capacitor;C77;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
65;Unpolarized capacitor;C78;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
66;Unpolarized capacitor;C82;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
67;Unpolarized capacitor;C84;100n;C_0402_1005Metric;1;GCM155R71H104KE02D;
68;Unpolarized capacitor;C89;0.47u;C_0402_1005Metric;1;C1005X5R1E474K050BB;
69;Unpolarized capacitor;C90;0.47u;C_0402_1005Metric;1;C1005X5R1E474K050BB;
70;Unpolarized capacitor;C_TUNE1_3;0.47u;C_0402_1005Metric;1;C1005X5R1E474K050BB;
71;Unpolarized capacitor;C100;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
72;Unpolarized capacitor;C102;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
73;Unpolarized capacitor;C118;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
74;Unpolarized capacitor;C129;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
75;Unpolarized capacitor;C130;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
76;Unpolarized capacitor;C25;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
77;Unpolarized capacitor;C26;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
78;Unpolarized capacitor;C28;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
79;Unpolarized capacitor;C29;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
80;Unpolarized capacitor;C33;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
81;Unpolarized capacitor;C34;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
82;Unpolarized capacitor;C46;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
83;Unpolarized capacitor;C47;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
84;Unpolarized capacitor;C54;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
85;Unpolarized capacitor;C55;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
86;Unpolarized capacitor;C56;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
87;Unpolarized capacitor;C62;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
88;Unpolarized capacitor;C79;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
89;Unpolarized capacitor;C83;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
90;Unpolarized capacitor;C93;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
91;Unpolarized capacitor;C96;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
92;Unpolarized capacitor;C_TUNE1_1;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
93;Unpolarized capacitor;C_TUNE1_2;1u;C_0402_1005Metric;1;GRT155R61E105KE01D;
94;Unpolarized capacitor;C115;4.7u;C_0805_2012Metric;1;CL21A475KLCLQNC;
95;Unpolarized capacitor;C123;4.7u;C_0805_2012Metric;1;CL21A475KLCLQNC;
96;Unpolarized capacitor;C76;4.7u;C_0805_2012Metric;1;CL21A475KLCLQNC;
97;Unpolarized capacitor;C106;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
98;Unpolarized capacitor;C131;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
99;Unpolarized capacitor;C21;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
100;Unpolarized capacitor;C22;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
101;Unpolarized capacitor;C35;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
102;Unpolarized capacitor;C37;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
103;Unpolarized capacitor;C38;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
104;Unpolarized capacitor;C39;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
105;Unpolarized capacitor;C53;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
106;Unpolarized capacitor;C57;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
107;Unpolarized capacitor;C69;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
108;Unpolarized capacitor;C70;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
109;Unpolarized capacitor;C97;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
110;Unpolarized capacitor;C98;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
111;Unpolarized capacitor;C99;10u;C_0805_2012Metric;1;TMK212BBJ106MG-T;
112;Polarized capacitor, US symbol;C85;100u;C_1210_3225Metric;1;TAJB107K006TNJ;
113;Polarized capacitor, US symbol;C86;100u;C_1210_3225Metric;1;TAJB107K006TNJ;
114;Polarized capacitor, US symbol;C87;100u;C_1210_3225Metric;1;TAJB107K006TNJ;
115;Unpolarized capacitor;C10;NC;;1;;
116;Unpolarized capacitor;C104;NC;;1;;
117;Unpolarized capacitor;C107;NC;;1;;
118;Unpolarized capacitor;C108;NC;;1;;
119;Unpolarized capacitor;C109;NC;;1;;
120;Unpolarized capacitor;C11;NC;;1;;
121;Unpolarized capacitor;C112;NC;;1;;
122;Unpolarized capacitor;C12;NC;;1;;
123;Unpolarized capacitor;C120;NC;;1;;
124;Unpolarized capacitor;C122;NC;;1;;
125;Unpolarized capacitor;C13;NC;;1;;
126;Unpolarized capacitor;C14;NC;;1;;
127;Unpolarized capacitor;C6;NC;;1;;
128;Unpolarized capacitor;C7;NC;;1;;
129;Unpolarized capacitor;C8;NC;;1;;
130;Unpolarized capacitor;C81;NC;;1;;
131;Unpolarized capacitor;C9;NC;;1;;
132;Unpolarized capacitor;C2;TUNE;C_0402_1005Metric;1;;
133;Unpolarized capacitor;C3;TUNE;C_0402_1005Metric;1;;
134;Unpolarized capacitor;C88;TUNE;C_0402_1005Metric;1;;
135;Dual LED, cathodes on pins 2 and 4;D32;APHBM2012LVBDZGKC;LED_2C;1;APHBM2012LVBDZGKC;
136;Bidirectional transient-voltage-suppression diode;D1;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
137;Bidirectional transient-voltage-suppression diode;D10;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
138;Bidirectional transient-voltage-suppression diode;D11;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
139;Bidirectional transient-voltage-suppression diode;D12;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
140;Bidirectional transient-voltage-suppression diode;D13;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
141;Bidirectional transient-voltage-suppression diode;D16;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
142;Bidirectional transient-voltage-suppression diode;D17;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
143;Bidirectional transient-voltage-suppression diode;D18;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
144;Bidirectional transient-voltage-suppression diode;D19;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
145;Bidirectional transient-voltage-suppression diode;D2;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
146;Bidirectional transient-voltage-suppression diode;D20;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
147;Bidirectional transient-voltage-suppression diode;D21;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
148;Bidirectional transient-voltage-suppression diode;D22;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
149;Bidirectional transient-voltage-suppression diode;D23;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
150;Bidirectional transient-voltage-suppression diode;D24;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
151;Bidirectional transient-voltage-suppression diode;D25;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
152;Bidirectional transient-voltage-suppression diode;D26;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
153;Bidirectional transient-voltage-suppression diode;D27;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
154;Bidirectional transient-voltage-suppression diode;D28;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
155;Bidirectional transient-voltage-suppression diode;D29;DESD5V0U1BA-7;D_SOD-323;1;DESD5V0U1BA-7;
